Category,Sub-Category,Question Type,Question (EN),Question (ES),Correct Answer,Option 1,Grade 1 %,Match 1,Option 2,Grade 2 %,Match 2,Option 3,Grade 3 %,Match 3,Option 4,Grade 4 %,Match 4
EPA 608,Universal,Multiple Choice,Which of these refrigerants is an HCFC?,¿Cuál de estos refrigerantes es un HCFC?,,R-22,100,,R-410A,-25,,R-134a,-25,,R-717,-25,
EPA 608,Core,True/False,Knowingly venting refrigerant into the atmosphere is illegal.,Ventilar refrigerante a la atmósfera a sabiendas es ilegal.,True,,,,,,,,,,,,
Refrigeration Basics,Tools,Match the Following,Match each tool to what it measures.,,,Manifold gauge,,System pressures,Micron gauge,,Vacuum level,Clamp meter,,Current draw,,,
EPA 608 Universal,Ozone Depletion,Multiple Choice,How many resistors need to be added in parallel to form a circuit of 6 ohms?,,,Two,100,,Three,50,,Four,-25,,Five,-25,
EPA 608 Universal,Air Quality Standards,Match the Following,,,,Recovery,,Removing refrigerant from a system,Recycling,,Cleaning refrigerant for reuse on site,,,,,,
EPA 608 Universal,Waste Management,Short Answer,Identify the proper disposal method for hazardous waste.,,,,,,,,,,,,,,
,Water Heaters,True/False,A T&P relief valve must discharge downward.,,True,,,,,,,,,,,,
Plumbing Code,Water Heaters,True/False,Dielectric unions are required on every water heater connection.,,Maybe,,,,,,,,,,,,
Solar,Panels,Multiple Choice,What does an inverter convert?,,,DC to AC,100,,,,,,,,,,
Solar,Panels,Match the Following,Match each component to its job.,,,Inverter,,Converts DC to AC,Combiner box,,,,,,,,
EPA 608,Universal,Multiple Choice,Which of these refrigerants is an HCFC?,,,R-22,100,,R-12,-25,,R-134a,-25,,R-410A,-25,
Electrical Safety,Lockout/Tagout,Multiple Choice,Who is allowed to remove a lockout device?,,,The person who applied it,100,,Any technician on site,wrong,,The site supervisor,-25,,Anyone with a key,-25,
EPA 608,Universal,Multiple Choice,Which two refrigerants are HFCs?,¿Cuáles dos refrigerantes son HFC?,,R-134a,50,,R-410A,50,,R-22,-25,,R-11,-25,
